id_menu;nama_menu;kategori;total_menu_terjual
1;Menu_1;Drink;36
2;Menu_2;Food;36
3;Menu_3;Drink;39
4;Menu_4;Dessert;46
5;Menu_5;Dessert;42
6;Menu_6;Dessert;66
7;Menu_7;Drink;51
8;Menu_8;Drink;29
9;Menu_9;Drink;24
10;Menu_10;Food;48
11;Menu_11;Drink;40
12;Menu_12;Drink;47
13;Menu_13;Drink;28
14;Menu_14;Dessert;52
15;Menu_15;Dessert;47
16;Menu_16;Dessert;50
17;Menu_17;Drink;41
18;Menu_18;Drink;38
19;Menu_19;Food;27
20;Menu_20;Dessert;23
21;Menu_21;Food;38
22;Menu_22;Drink;37
23;Menu_23;Drink;41
24;Menu_24;Dessert;54
25;Menu_25;Dessert;39
26;Menu_26;Food;66
27;Menu_27;Dessert;45
28;Menu_28;Dessert;38
29;Menu_29;Drink;51
30;Menu_30;Dessert;46
31;Menu_31;Food;36
32;Menu_32;Drink;30
33;Menu_33;Food;49
34;Menu_34;Dessert;63
35;Menu_35;Food;50
36;Menu_36;Drink;28
37;Menu_37;Food;45
38;Menu_38;Dessert;37
39;Menu_39;Dessert;25
40;Menu_40;Food;49
41;Menu_41;Food;52
42;Menu_42;Food;34
43;Menu_43;Food;38
44;Menu_44;Food;39
45;Menu_45;Drink;38
46;Menu_46;Food;49
47;Menu_47;Food;34
48;Menu_48;Drink;33
49;Menu_49;Dessert;38
50;Menu_50;Dessert;42
