id_order,id_driver,id_customer,tanggal,jarak_km,durasi_menit,tarif
1,1,53.0,2023-08-23,1.08,5,8200
2,1,44.0,2023-06-04,0.72,2,7100
3,1,185.0,2023-07-19,1.13,5,8300
4,1,90.0,2023-12-17,1.18,4,8200
5,1,138.0,2023-04-08,0.62,2,6400
6,1,110.0,2023-03-13,0.79,2,7400
7,1,77.0,2023-12-01,0.77,3,7700
8,1,13.0,2023-12-13,1.3,5,9300
9,1,155.0,2023-03-30,1.77,5,10600
10,1,97.0,2023-09-25,1.59,4,10000
11,1,116.0,2023-01-12,1.35,5,9200
12,1,98.0,2023-01-03,1.75,6,9800
13,1,102.0,2023-07-20,0.94,4,8000
14,1,144.0,2023-12-27,0.84,2,7800
15,1,54.0,2023-11-08,1.92,8,10700
16,1,89.0,2023-05-12,1.97,4,11000
17,1,,2023-04-05,1.59,4,9600
18,1,5.0,2023-07-18,0.9,3,7200
19,1,187.0,2023-08-23,1.9,5,11200
20,1,165.0,2023-07-15,0.63,2,7300
21,1,130.0,2023-12-26,0.94,2,8000
22,1,153.0,2023-07-09,0.92,3,7700
23,1,36.0,2023-04-11,1.63,5,10200
24,1,,2023-02-09,1.26,4,8400
25,1,6.0,2023-09-29,1.72,4,10300
26,1,9.0,2023-08-05,1.53,7,9900
27,1,196.0,2023-09-19,1.61,6,9400
28,1,9.0,2023-03-18,1.64,4,10400
29,1,194.0,2023-08-29,1.38,5,9600
30,1,79.0,2023-05-01,1.75,5,10700
31,1,55.0,2023-10-22,1.11,5,8600
32,1,37.0,2023-03-26,0.53,1,6100
33,1,50.0,2023-06-07,0.92,4,7300
34,1,35.0,2023-01-07,1.3,5,8500
35,1,181.0,2023-07-08,1.18,5,8700
36,1,37.0,2023-09-19,1.92,7,10900
37,1,166.0,2023-04-28,1.34,6,8700
38,1,140.0,2023-02-08,1.98,6,10900
39,1,171.0,2023-07-02,0.79,3,6900
40,1,28.0,2023-11-04,1.62,4,9900
41,1,200.0,2023-06-17,0.69,2,7200
42,1,100.0,2023-02-03,1.27,4,8900
43,1,18.0,2023-09-05,0.6,2,6600
44,1,158.0,2023-07-11,1.85,8,10000
45,1,,2023-04-28,1.12,4,8500
46,1,20.0,2023-02-21,1.64,3,9800
47,1,63.0,2023-12-29,1.41,6,8900
48,1,74.0,2023-07-21,0.72,2,7200
49,1,145.0,2023-05-06,1.8,7,10800
50,1,99.0,2023-12-16,1.72,4,10200
51,1,200.0,2023-09-22,1.59,3,9400
52,1,86.0,2023-04-19,1.09,3,8100
53,1,24.0,2023-12-22,1.61,6,10300
54,1,,2023-12-30,1.39,3,9000
55,1,44.0,2023-12-30,0.6,1,7300
56,1,79.0,2023-06-01,0.85,1,7200
57,1,,2023-06-03,1.76,6,10300
58,1,51.0,2023-02-08,0.84,2,7100
59,1,139.0,2023-11-19,1.56,7,9300
60,1,102.0,2023-05-15,1.53,6,9700
61,1,147.0,2023-02-16,1.86,8,11000
62,1,98.0,2023-03-25,1.09,4,7700
63,1,197.0,2023-07-21,0.89,2,7500
64,1,52.0,2023-11-20,1.75,5,10700
65,1,112.0,2023-11-21,1.17,2,9000
66,1,61.0,2023-07-11,0.64,2,7100
67,1,,2023-06-01,1.46,5,9100
68,1,161.0,2023-03-10,1.1,2,7900
69,1,82.0,2023-06-19,1.91,9,10300
70,1,118.0,2023-08-14,1.86,3,10800
71,1,,2023-08-10,0.92,2,7700
72,1,155.0,2023-01-03,0.96,4,8000
73,1,,2023-09-02,0.83,3,6900
74,1,188.0,2023-11-10,1.38,5,9600
75,1,115.0,2023-08-13,1.81,7,10300
76,1,143.0,2023-12-11,1.76,5,10600
77,1,148.0,2023-11-02,1.22,4,8600
78,1,144.0,2023-03-26,1.97,9,11100
79,1,136.0,2023-03-17,0.74,2,7600
80,1,66.0,2023-12-28,1.96,4,11200
81,1,16.0,2023-10-05,0.69,3,7500
82,1,19.0,2023-09-21,0.64,2,6700
83,1,139.0,2023-10-11,1.59,7,9500
84,1,177.0,2023-07-22,1.22,2,8600
85,1,188.0,2023-11-25,1.61,5,9700
86,1,140.0,2023-03-05,1.59,5,10200
87,1,49.0,2023-06-14,1.5,6,9000
88,1,188.0,2023-10-13,0.73,3,6800
89,1,70.0,2023-06-27,1.64,8,9600
90,1,42.0,2023-04-19,1.63,4,9400
91,1,135.0,2023-05-03,1.36,5,9500
92,1,166.0,2023-07-15,0.83,1,7800
93,1,159.0,2023-09-27,1.49,4,9300
94,1,144.0,2023-06-23,1.92,5,11100
95,1,163.0,2023-04-02,0.58,1,6900
96,1,125.0,2023-09-17,0.86,2,7900
97,1,98.0,2023-06-26,1.36,4,9000
98,1,153.0,2023-02-22,1.97,4,10900
99,1,193.0,2023-10-20,0.65,2,6700
100,1,144.0,2023-11-02,1.41,2,9300
101,2,,2023-08-21,5.98,26,23400
102,2,174.0,2023-10-17,4.05,18,16600
103,2,,2023-02-18,3.33,12,15300
104,2,39.0,2023-04-04,6.17,16,23900
105,2,36.0,2023-10-11,2.27,7,11600
106,2,52.0,2023-03-09,6.64,21,24700
107,2,120.0,2023-06-22,1.75,5,10000
108,2,117.0,2023-04-16,8.49,35,30300
109,2,196.0,2023-07-06,6.49,28,24300
110,2,24.0,2023-11-25,2.3,7,12000
111,2,175.0,2023-06-30,6.39,27,24300
112,2,162.0,2023-09-29,8.66,26,31000
113,2,186.0,2023-05-12,2.63,8,13200
114,2,134.0,2023-04-23,5.45,12,21000
115,2,75.0,2023-01-17,5.53,26,21600
116,2,5.0,2023-10-16,7.01,31,25600
117,2,111.0,2023-02-26,8.46,25,30400
118,2,143.0,2023-09-06,3.91,14,17200
119,2,10.0,2023-01-31,1.06,2,8200
120,2,39.0,2023-03-18,1.47,3,9000
121,2,176.0,2023-05-02,7.3,16,26700
122,2,81.0,2023-05-20,3.12,10,14100
123,2,184.0,2023-02-06,2.61,11,13000
124,2,109.0,2023-10-25,6.86,18,25700
125,2,105.0,2023-09-16,3.62,8,16300
126,2,160.0,2023-04-17,4.58,21,18700
127,2,48.0,2023-01-14,7.5,17,27400
128,2,140.0,2023-08-05,9.67,29,34400
129,2,,2023-12-15,2.47,8,12500
130,2,121.0,2023-10-31,8.35,26,30500
131,2,194.0,2023-02-27,3.3,10,14600
132,2,98.0,2023-05-04,5.41,22,21100
133,2,50.0,2023-08-16,6.66,18,25100
134,2,192.0,2023-07-21,7.85,31,28400
135,3,107.0,2023-06-28,1.68,5,9800
136,3,65.0,2023-12-08,4.52,18,18600
137,3,121.0,2023-01-10,5.76,14,22300
138,3,39.0,2023-09-14,6.69,22,25400
139,3,59.0,2023-11-04,1.24,4,8300
140,3,186.0,2023-05-14,7.72,23,28100
141,3,193.0,2023-03-21,9.72,32,33900
142,3,6.0,2023-05-19,7.62,29,27400
143,3,5.0,2023-02-21,4.0,16,16600
144,3,46.0,2023-01-20,8.36,40,29600
145,3,98.0,2023-04-11,4.74,20,18900
146,3,86.0,2023-03-01,8.02,31,29300
147,3,187.0,2023-09-08,3.47,7,15600
148,3,23.0,2023-12-27,7.09,30,25700
149,3,163.0,2023-03-04,5.0,13,20000
150,3,199.0,2023-08-02,9.54,31,33500
151,3,182.0,2023-04-03,7.57,29,27400
152,3,142.0,2023-02-14,1.76,6,9900
153,3,119.0,2023-08-13,2.72,10,13400
154,3,109.0,2023-08-27,1.48,3,9200
155,3,136.0,2023-08-18,7.49,30,26900
156,3,21.0,2023-03-21,4.16,8,17300
157,3,30.0,2023-08-20,3.39,15,15400
158,4,49.0,2023-04-21,9.73,42,34500
159,4,55.0,2023-10-31,8.97,43,31400
160,4,132.0,2023-01-02,6.27,17,23800
161,4,104.0,2023-01-16,7.08,35,25800
162,4,25.0,2023-10-09,9.76,23,34700
163,4,149.0,2023-09-24,2.96,9,13900
164,4,144.0,2023-04-11,2.39,9,11800
165,4,77.0,2023-03-05,6.94,25,25800
166,4,22.0,2023-07-03,2.83,12,13400
167,4,117.0,2023-04-30,3.24,9,14700
168,4,68.0,2023-12-20,9.27,40,32800
169,4,19.0,2023-10-18,4.45,12,18400
170,4,147.0,2023-08-20,5.44,21,20900
171,4,75.0,2023-12-27,3.34,15,15200
172,4,64.0,2023-10-25,8.9,22,31200
173,4,45.0,2023-11-26,8.54,18,30600
174,4,,2023-09-20,9.73,42,34500
175,4,113.0,2023-11-07,5.64,17,21600
176,4,151.0,2023-11-02,1.7,6,9900
177,4,65.0,2023-07-22,9.2,35,32300
178,4,105.0,2023-02-13,5.78,18,22700
179,4,197.0,2023-05-23,9.03,29,32100
180,4,91.0,2023-10-05,7.76,20,28000
181,4,139.0,2023-02-01,9.95,33,34900
182,4,26.0,2023-04-21,6.09,20,23200
183,4,,2023-01-26,3.18,8,15000
184,4,153.0,2023-05-29,5.28,13,21200
185,4,128.0,2023-12-01,8.72,33,30600
186,4,108.0,2023-08-03,9.18,33,32700
187,4,49.0,2023-01-12,5.1,17,19800
188,4,21.0,2023-02-18,7.85,17,28800
189,5,194.0,2023-05-07,1.48,3,9600
190,5,30.0,2023-12-21,3.75,18,16300
191,5,180.0,2023-12-19,9.6,41,34000
192,5,102.0,2023-10-20,8.07,33,29700
193,5,177.0,2023-05-15,5.95,20,22300
194,5,73.0,2023-06-25,7.64,23,27900
195,5,191.0,2023-12-25,6.54,23,24400
196,5,58.0,2023-07-15,7.4,15,27100
197,5,102.0,2023-10-15,1.41,6,8700
198,5,,2023-04-17,9.29,38,32600
199,5,49.0,2023-05-29,3.25,10,15100
200,5,110.0,2023-08-24,2.08,5,11700
201,5,139.0,2023-09-22,9.9,49,35200
202,5,,2023-04-21,9.07,34,32100
203,5,174.0,2023-06-03,5.07,19,19700
204,5,96.0,2023-03-28,5.53,12,21400
205,5,109.0,2023-05-31,8.69,32,30700
206,5,179.0,2023-02-02,6.19,14,23100
207,5,15.0,2023-03-14,9.93,30,35000
208,5,99.0,2023-08-04,8.41,26,30400
209,5,57.0,2023-01-08,2.31,4,11900
210,5,,2023-09-05,8.03,32,28500
211,5,171.0,2023-11-17,4.73,9,19400
212,5,165.0,2023-11-25,3.68,17,15500
213,5,139.0,2023-11-21,7.11,20,25900
214,5,,2023-07-26,6.04,19,23500
215,5,46.0,2023-11-20,1.96,5,11200
216,5,156.0,2023-12-09,4.42,18,17800
217,5,2.0,2023-06-28,1.36,6,8600
218,5,,2023-09-15,6.2,16,24000
219,5,140.0,2023-08-31,2.08,8,11600
220,5,52.0,2023-12-20,4.39,20,18400
221,5,179.0,2023-12-31,9.96,30,34900
222,5,118.0,2023-06-15,1.6,5,9800
223,5,48.0,2023-02-03,6.83,33,25900
224,5,163.0,2023-05-24,3.52,13,15800
225,5,40.0,2023-05-03,8.87,19,31600
226,5,156.0,2023-04-04,5.77,25,22600
227,5,141.0,2023-02-17,2.19,7,11100
228,5,95.0,2023-07-13,4.61,9,19100
229,5,198.0,2023-07-02,3.21,13,14600
230,5,83.0,2023-02-03,9.85,20,34400
231,5,108.0,2023-05-23,9.79,28,34700
232,5,26.0,2023-02-23,9.8,31,34100
233,5,167.0,2023-03-01,6.55,32,24300
234,5,42.0,2023-02-23,1.49,5,8900
235,5,160.0,2023-08-13,1.75,5,9900
236,5,130.0,2023-03-13,2.79,11,13700
237,5,155.0,2023-12-01,7.97,31,28800
238,5,5.0,2023-12-05,3.71,12,15700
239,5,22.0,2023-02-23,9.34,21,32800
240,5,33.0,2023-02-09,4.41,10,18500
241,5,3.0,2023-04-14,7.37,19,27600
242,5,105.0,2023-05-22,8.4,27,29700
243,5,27.0,2023-04-05,3.0,12,14400
244,5,57.0,2023-02-09,8.6,31,31000
245,5,141.0,2023-01-04,7.74,23,28400
246,5,116.0,2023-11-29,7.99,16,28700
247,5,108.0,2023-08-31,1.86,6,10800
248,5,181.0,2023-10-16,3.5,10,15000
249,5,172.0,2023-10-27,1.96,6,11100
250,5,41.0,2023-01-14,2.45,5,11800
251,5,58.0,2023-09-22,5.44,21,21800
252,5,59.0,2023-02-25,3.43,14,14700
253,5,54.0,2023-02-04,3.51,9,15500
254,5,176.0,2023-05-01,4.58,17,18900
255,5,12.0,2023-07-19,5.03,19,20200
256,5,117.0,2023-10-19,1.95,5,10900
257,5,50.0,2023-10-26,6.88,14,25600
258,6,119.0,2023-03-12,6.73,28,25100
259,6,169.0,2023-03-19,5.5,19,21700
260,6,107.0,2023-03-06,1.52,3,9300
261,6,,2023-03-26,7.39,26,26800
262,6,132.0,2023-09-17,9.19,35,32200
263,6,112.0,2023-07-15,6.21,15,23700
264,6,134.0,2023-10-15,3.84,13,16300
265,6,147.0,2023-10-25,1.72,6,10400
266,6,,2023-04-14,8.13,21,29000
267,6,,2023-12-06,7.8,32,28100
268,6,23.0,2023-05-06,2.15,7,10900
269,6,72.0,2023-08-06,8.06,37,29000
270,6,4.0,2023-06-05,4.98,19,19400
271,6,146.0,2023-07-24,1.18,5,9000
272,6,121.0,2023-03-24,1.59,4,9300
273,6,169.0,2023-08-28,7.69,35,28400
274,6,181.0,2023-09-05,1.65,5,10300
275,6,3.0,2023-01-25,6.79,20,24900
276,6,48.0,2024-01-01,8.5,39,30100
277,6,93.0,2023-07-17,9.24,45,32200
278,6,45.0,2023-06-18,6.73,15,24900
279,6,114.0,2023-01-23,5.65,17,22100
280,6,138.0,2023-11-13,6.46,19,24000
281,6,7.0,2023-10-16,8.95,20,31900
282,6,6.0,2023-04-03,1.34,5,8500
283,6,107.0,2023-07-02,8.59,21,31200
284,6,19.0,2023-05-18,7.09,24,26200
285,6,149.0,2023-06-07,4.84,20,19700
286,6,16.0,2023-09-22,5.77,26,22800
287,6,39.0,2023-12-06,2.37,6,12300
288,6,27.0,2023-10-26,1.65,5,9400
289,6,173.0,2023-08-18,5.81,12,22300
290,6,61.0,2023-03-25,4.57,14,18400
291,6,34.0,2023-05-18,4.7,15,19300
292,6,24.0,2023-12-03,8.25,25,29300
293,6,174.0,2023-01-11,4.08,18,17600
294,6,195.0,2023-04-24,8.43,34,30300
295,6,3.0,2023-06-10,4.91,17,19700
296,6,39.0,2023-11-25,2.22,9,11800
297,6,88.0,2023-08-10,2.35,7,11700
298,6,171.0,2023-12-19,5.69,16,21600
