id_payment,id_order,metode_bayar,amount
1,1,Card,8700
2,2,Cash,7100
3,3,Cash,8600
4,4,E-Wallet,8200
5,5,E-Wallet,6400
6,6,Card,7400
7,7,E-Wallet,7700
8,8,Cash,9300
9,9,Cash,10600
10,10,Card,10000
11,11,Cash,9300
12,12,E-Wallet,9800
13,13,Card,8000
14,14,Card,8000
15,15,Cash,11000
16,16,E-Wallet,11000
17,17,Cash,9600
18,18,Card,7300
19,19,Card,11200
20,20,E-Wallet,7300
21,21,E-Wallet,8000
22,22,Card,8100
23,23,Card,10200
24,24,Card,8400
25,25,Cash,10300
26,26,Cash,9900
27,27,Cash,9400
28,28,E-Wallet,10400
29,29,Card,9600
30,30,Cash,10700
31,31,Cash,8600
32,32,Card,6100
33,33,Cash,7300
34,34,E-Wallet,8500
35,35,Card,8700
36,36,E-Wallet,10900
37,37,Card,8700
38,38,Cash,10900
39,39,Card,6900
40,40,Card,9900
41,41,Cash,7200
42,42,E-Wallet,8900
43,43,Cash,7100
44,44,E-Wallet,10000
45,45,Card,8500
46,46,E-Wallet,9800
47,47,E-Wallet,8900
48,48,E-Wallet,7200
49,49,Cash,10800
50,50,Card,10200
51,51,Card,9400
52,52,Cash,8100
53,53,Card,10300
54,54,E-Wallet,9000
55,55,Card,7300
56,56,E-Wallet,7300
57,57,Card,10300
58,58,Cash,7100
59,59,Cash,9300
60,60,E-Wallet,9700
61,61,E-Wallet,11000
62,62,E-Wallet,7700
63,63,E-Wallet,7600
64,64,E-Wallet,10700
65,65,Card,9000
66,66,Card,7100
67,67,Cash,9100
68,68,E-Wallet,7900
69,69,E-Wallet,10300
70,70,Card,10800
71,71,Card,7700
72,72,E-Wallet,8000
73,73,Card,6900
74,74,Cash,9600
75,75,Cash,10300
76,76,E-Wallet,10600
77,77,Cash,8600
78,78,Cash,11100
79,79,Cash,7900
80,80,Card,11200
81,81,Cash,7500
82,82,Card,6900
83,83,Cash,9500
84,84,Card,8600
85,85,Cash,9700
86,86,Card,10200
87,87,E-Wallet,9000
88,88,Card,6800
89,89,Cash,9600
90,90,Card,9400
91,91,Card,9500
92,92,Card,7800
93,93,E-Wallet,9300
94,94,Cash,11100
95,95,Card,6900
96,96,Cash,7900
97,97,E-Wallet,9000
98,98,Cash,10900
99,99,E-Wallet,6700
100,100,Card,9300
101,101,E-Wallet,23400
102,102,Cash,16600
103,103,Card,15300
104,104,Cash,23900
105,105,Card,11600
106,106,Card,24700
107,107,E-Wallet,10000
108,108,Card,30300
109,109,Cash,24700
110,110,Cash,12000
111,111,Cash,24300
112,112,E-Wallet,31000
113,113,Cash,13200
114,114,E-Wallet,21500
115,115,Card,21600
116,116,E-Wallet,25600
117,117,Cash,30400
118,118,E-Wallet,17200
119,119,Cash,8200
120,120,Cash,9400
121,121,Card,26700
122,122,Cash,14100
123,123,Cash,13000
124,124,Card,25700
125,125,Cash,16300
126,126,Card,18700
127,127,Card,27400
128,128,Card,34600
129,129,Cash,13000
130,130,Cash,30500
131,131,Cash,14600
132,132,Card,21100
133,133,Cash,25100
134,134,Card,28400
135,135,E-Wallet,9800
136,136,Card,18600
137,137,E-Wallet,22300
138,138,Cash,25400
139,139,E-Wallet,8300
140,140,Cash,28100
141,141,E-Wallet,33900
142,142,E-Wallet,27400
143,143,Cash,16600
144,144,Card,29600
145,145,Cash,18900
146,146,Cash,29300
147,147,Cash,15600
148,148,Card,25700
149,149,Card,20000
150,150,Cash,33500
151,151,E-Wallet,27400
152,152,E-Wallet,9900
153,153,E-Wallet,13400
154,154,E-Wallet,9200
155,155,Card,26900
156,156,E-Wallet,17300
157,157,Card,15400
158,158,Cash,34500
159,159,E-Wallet,31400
160,160,Card,23800
161,161,Card,25900
162,162,E-Wallet,34700
163,163,E-Wallet,13900
164,164,E-Wallet,11800
165,165,Cash,25800
166,166,Card,13400
167,167,E-Wallet,14700
168,168,Card,32800
169,169,E-Wallet,18400
170,170,Cash,21200
171,171,Cash,15200
172,172,E-Wallet,31200
173,173,Cash,31000
174,174,E-Wallet,34500
175,175,E-Wallet,21600
176,176,Cash,9900
177,177,Cash,32300
178,178,Card,22700
179,179,Cash,32100
180,180,Cash,28000
181,181,E-Wallet,34900
182,182,Card,23200
183,183,Card,15000
184,184,E-Wallet,21200
185,185,Cash,30600
186,186,E-Wallet,32800
187,187,E-Wallet,19800
188,188,Cash,28800
189,189,E-Wallet,9600
190,190,E-Wallet,16300
191,191,Cash,34000
192,192,Card,29800
193,193,Card,22300
194,194,Card,27900
195,195,E-Wallet,24400
196,196,E-Wallet,27100
197,197,E-Wallet,8700
198,198,Cash,32600
199,199,Cash,15100
200,200,Cash,11800
201,201,Cash,35600
202,202,E-Wallet,32500
203,203,E-Wallet,19700
204,204,Card,21400
205,205,E-Wallet,30700
206,206,Cash,23100
207,207,Cash,35000
208,208,E-Wallet,30400
209,209,Card,11900
210,210,Cash,28500
211,211,E-Wallet,19400
212,212,Card,15500
213,213,Card,25900
214,214,Cash,23500
215,215,Cash,11200
216,216,Card,17800
217,217,Cash,8600
218,218,Cash,24000
219,219,Card,12100
220,220,Cash,18700
221,221,Cash,34900
222,222,E-Wallet,9800
223,223,E-Wallet,25900
224,224,Cash,15800
225,225,Cash,31600
226,226,E-Wallet,22600
227,227,Card,11100
228,228,Cash,19400
229,229,Card,14900
230,230,Card,34400
231,231,Card,34700
232,232,E-Wallet,34100
233,233,Cash,24300
234,234,Cash,8900
235,235,Card,9900
236,236,Cash,13700
237,237,E-Wallet,28900
238,238,E-Wallet,15700
239,239,Card,32800
240,240,E-Wallet,18500
241,241,E-Wallet,27600
242,242,E-Wallet,29700
243,243,Cash,14500
244,244,Card,31300
245,245,Cash,28400
246,246,Card,28700
247,247,E-Wallet,10800
248,248,E-Wallet,15000
249,249,Card,11100
250,250,E-Wallet,11800
251,251,E-Wallet,21800
252,252,E-Wallet,14700
253,253,Cash,15500
254,254,Card,18900
255,255,Cash,20200
256,256,Cash,10900
257,257,Cash,25600
258,258,Cash,25100
259,259,Card,21700
260,260,Card,9300
261,261,Card,26800
262,262,E-Wallet,32700
263,263,Card,23700
264,264,Card,16300
265,265,Card,10400
266,266,Cash,29000
267,267,E-Wallet,28100
268,268,Card,10900
269,269,Card,29000
270,270,Card,19400
271,271,Card,9400
272,272,E-Wallet,9300
273,273,Cash,28400
274,274,E-Wallet,10300
275,275,Card,24900
276,276,Card,30100
277,277,E-Wallet,32200
278,278,Card,25200
279,279,Cash,22600
280,280,Card,24000
281,281,Card,31900
282,282,Card,8500
283,283,Cash,31200
284,284,E-Wallet,26200
285,285,Card,19700
286,286,Card,22800
