id_menu,nama_menu,kategori,harga
1,Menu_1,Drink,58300.0
2,Menu_2,Food,52900.0
3,Menu_3,Drink,42900.0
4,Menu_4,Dessert,32400.0
5,Menu_5,Dessert,56000.0
6,Menu_6,Dessert,24200.0
7,Menu_7,Drink,28400.0
8,Menu_8,Drink,14400.0
9,Menu_9,Drink,64900.0
10,Menu_10,Food,69500.0
11,Menu_11,Drink,72800.0
12,Menu_12,Drink,60300.0
13,Menu_13,Drink,44500.0
14,Menu_14,Dessert,
15,Menu_15,Dessert,41800.0
16,Menu_16,Dessert,28800.0
17,Menu_17,Drink,12100.0
18,Menu_18,Drink,41000.0
19,Menu_19,Food,71300.0
20,Menu_20,Dessert,72200.0
21,Menu_21,Food,77200.0
22,Menu_22,Drink,32300.0
23,Menu_23,Drink,57400.0
24,Menu_24,Dessert,18400.0
25,Menu_25,Dessert,57800.0
26,Menu_26,Food,24500.0
27,Menu_27,Dessert,27800.0
28,Menu_28,Dessert,
29,Menu_29,Drink,71700.0
30,Menu_30,Dessert,56000.0
31,Menu_31,Food,73600.0
32,Menu_32,Drink,61700.0
33,Menu_33,Food,75300.0
34,Menu_34,Dessert,41000.0
35,Menu_35,Food,73800.0
36,Menu_36,Drink,60200.0
37,Menu_37,Food,17900.0
38,Menu_38,Dessert,69300.0
39,Menu_39,Dessert,38800.0
40,Menu_40,Food,29300.0
41,Menu_41,Food,60400.0
42,Menu_42,Food,
43,Menu_43,Food,41500.0
44,Menu_44,Food,13700.0
45,Menu_45,Drink,20700.0
46,Menu_46,Food,78100.0
47,Menu_47,Food,26900.0
48,Menu_48,Drink,42400.0
49,Menu_49,Dessert,43700.0
50,Menu_50,Dessert,32200.0
