id_item,id_transaction,id_menu,quantity,subtotal
1,1,12,2.0,120600.0
2,2,19,1.0,72200.0
3,2,7,,56800.0
4,2,37,5.0,89500.0
5,2,44,3.0,41100.0
6,3,16,2.0,57600.0
7,3,15,3.0,125400.0
8,3,46,2.0,156200.0
9,3,22,2.0,65000.0
10,4,22,1.0,32300.0
11,4,20,4.0,288800.0
12,4,24,4.0,73600.0
13,4,24,3.0,55200.0
14,5,5,2.0,112000.0
15,6,7,1.0,28400.0
16,6,17,5.0,60500.0
17,7,43,,42700.0
18,7,11,4.0,291200.0
19,7,43,5.0,207500.0
20,7,43,2.0,83000.0
21,8,10,4.0,278000.0
22,8,5,3.0,168000.0
23,8,34,1.0,41000.0
24,9,19,3.0,213900.0
25,9,40,4.0,117200.0
26,9,35,4.0,295200.0
27,9,2,2.0,105800.0
28,10,1,2.0,116600.0
29,10,1,3.0,175000.0
30,10,12,1.0,60300.0
31,10,23,3.0,172200.0
32,11,26,2.0,49000.0
33,11,17,2.0,24200.0
34,12,34,3.0,123000.0
35,13,44,,41100.0
36,13,20,4.0,288800.0
37,14,31,1.0,73600.0
38,14,43,3.0,124500.0
39,14,6,4.0,96800.0
40,15,48,2.0,84800.0
41,15,20,4.0,288800.0
42,16,2,,211600.0
43,16,49,2.0,87400.0
44,17,47,5.0,134500.0
45,17,35,2.0,147600.0
46,17,7,5.0,142000.0
47,17,6,5.0,121000.0
48,18,49,5.0,218500.0
49,19,24,3.0,55200.0
50,19,17,1.0,12100.0
51,19,30,5.0,280000.0
52,19,40,1.0,29300.0
53,20,6,2.0,49600.0
54,20,5,,56000.0
55,21,10,4.0,278000.0
56,21,7,5.0,142000.0
57,22,13,2.0,89700.0
58,22,46,4.0,312400.0
59,22,42,3.0,95400.0
60,23,21,3.0,231600.0
61,23,50,4.0,128800.0
62,24,14,1.0,13600.0
63,24,19,3.0,213900.0
64,25,1,3.0,174900.0
65,26,2,5.0,264500.0
66,27,8,4.0,57600.0
67,28,23,1.0,57500.0
68,29,28,2.0,87200.0
69,29,4,5.0,162000.0
70,29,12,3.0,180900.0
71,30,39,1.0,38800.0
72,31,21,4.0,308800.0
73,31,14,4.0,197600.0
74,31,37,2.0,35800.0
75,32,50,1.0,33300.0
76,32,29,5.0,358500.0
77,32,21,5.0,388000.0
78,33,45,4.0,82800.0
79,33,15,,167200.0
80,33,16,1.0,28800.0
81,34,34,2.0,82000.0
82,34,14,5.0,79500.0
83,34,16,4.0,115200.0
84,35,32,5.0,308900.0
85,35,25,5.0,289000.0
86,35,29,5.0,358500.0
87,36,14,4.0,189200.0
88,36,9,1.0,64900.0
89,37,14,2.0,38600.0
90,38,6,3.0,72600.0
91,39,41,2.0,120800.0
92,40,6,5.0,121200.0
93,40,34,5.0,205000.0
94,40,26,2.0,49000.0
95,41,15,5.0,209000.0
96,41,44,1.0,13700.0
97,41,34,1.0,41000.0
98,41,29,3.0,215100.0
99,42,30,5.0,280000.0
100,42,27,4.0,111200.0
101,42,17,1.0,12100.0
102,42,24,,92000.0
103,43,2,3.0,158700.0
104,43,5,1.0,56000.0
105,44,1,3.0,174900.0
106,44,32,3.0,185100.0
107,44,19,5.0,356500.0
108,45,42,5.0,108500.0
109,45,33,4.0,302200.0
110,45,11,5.0,364000.0
111,46,20,1.0,72200.0
112,46,12,2.0,120600.0
113,46,28,1.0,44600.0
114,46,39,2.0,77600.0
115,47,5,1.0,56000.0
116,47,10,5.0,347500.0
117,48,7,4.0,113600.0
118,48,39,4.0,155200.0
119,48,50,5.0,161000.0
120,48,25,1.0,57800.0
121,49,6,3.0,72600.0
122,49,29,,286800.0
123,49,10,3.0,208500.0
124,50,25,2.0,115600.0
125,50,16,2.0,57600.0
126,50,44,4.0,54800.0
127,51,50,5.0,161000.0
128,51,35,5.0,369000.0
129,51,33,1.0,75300.0
130,52,42,3.0,37500.0
131,52,45,5.0,103500.0
132,53,27,1.0,29000.0
133,54,1,4.0,233200.0
134,54,25,3.0,173400.0
135,55,21,1.0,77200.0
136,55,47,,134500.0
137,55,42,3.0,133200.0
138,56,31,5.0,368000.0
139,56,34,1.0,41000.0
140,56,18,5.0,205000.0
141,56,39,1.0,38800.0
142,57,5,1.0,56000.0
143,57,3,1.0,42900.0
144,57,48,1.0,42400.0
145,58,3,,214500.0
146,58,5,2.0,112000.0
147,59,3,5.0,214500.0
148,59,16,1.0,28800.0
149,59,8,3.0,43200.0
150,60,50,2.0,64400.0
