id_transaction,id_customer,id_branch,tanggal_transaksi,total_bayar
1,93.0,Medan,2023-06-11,164869
2,61.0,Bandung,2023-10-28,241307
3,87.0,Surabaya,2023-05-18,250095
4,123.0,Medan,2023-08-25,142590
5,83.0,Medan,2023-11-17,51756
6,33.0,Bandung,2023-05-24,35682
7,30.0,Surabaya,2023-06-05,72150
8,1.0,Medan,2023-10-09,149612
9,132.0,Bandung,2023-07-23,260169
10,143.0,Jakarta,2023-03-27,127041
11,134.0,Bandung,2023-01-18,210231
12,2.0,Jakarta,2023-05-12,131666
13,143.0,Medan,2023-08-22,122369
14,16.0,Surabaya,2023-04-27,141479
15,60.0,Surabaya,2023-11-12,60931
16,31.0,Bandung,2023-10-23,116075
17,99.0,Jakarta,2023-03-03,161273
18,93.0,Jakarta,2023-03-10,39221
19,116.0,Medan,2023-10-10,215868
20,57.0,Bandung,2023-06-30,275267
21,30.0,Bandung,2023-04-18,75781
22,41.0,Bandung,2023-05-13,289623
23,145.0,Bandung,2023-02-06,67427
24,117.0,Medan,2023-11-25,246006
25,,Surabaya,2023-01-04,277507
26,65.0,Jakarta,2023-08-08,50693
27,135.0,Jakarta,2023-04-05,42302
28,77.0,Surabaya,2023-06-10,114922
29,141.0,Surabaya,2023-08-12,169591
30,129.0,Surabaya,2023-06-20,234345
31,133.0,Surabaya,2023-11-08,157198
32,73.0,Surabaya,2023-02-17,197352
33,61.0,Surabaya,2023-10-25,71038
34,29.0,Surabaya,2023-09-02,294936
35,12.0,Surabaya,2023-03-28,179030
36,72.0,Medan,2023-05-05,177961
37,35.0,Jakarta,2023-09-20,243120
38,103.0,Surabaya,2023-06-07,219189
39,15.0,Medan,2023-03-13,208366
40,87.0,Medan,2023-04-27,23891
41,3.0,Bandung,2023-05-01,24240
42,63.0,Medan,2024-01-01,216877
43,128.0,Jakarta,2023-05-30,27330
44,27.0,Surabaya,2023-08-27,214770
45,68.0,Jakarta,2023-10-22,91423
46,95.0,Surabaya,2023-10-07,271284
47,16.0,Medan,2023-07-28,38708
48,65.0,Bandung,2023-12-29,227744
49,70.0,Jakarta,2023-05-27,139994
50,,Jakarta,2023-03-31,232499
51,115.0,Medan,2023-02-04,84411
52,109.0,Jakarta,2023-03-29,299282
53,134.0,Surabaya,2023-06-04,240807
54,142.0,Bandung,2023-12-02,269212
55,8.0,Surabaya,2023-04-26,90697
56,141.0,Jakarta,2023-01-16,80409
57,28.0,Jakarta,2023-09-06,92068
58,104.0,Surabaya,2023-04-27,163074
59,28.0,Jakarta,2023-05-02,297506
60,46.0,Surabaya,2023-12-30,240460
61,63.0,Medan,2023-11-02,204139
62,11.0,Jakarta,2023-01-15,259243
63,76.0,Jakarta,2023-01-28,245133
64,66.0,Bandung,2023-01-23,157177
65,79.0,Surabaya,2023-11-19,204415
66,77.0,Jakarta,2023-07-30,42236
67,121.0,Medan,2023-07-30,22591
68,93.0,Bandung,2023-02-25,127136
69,84.0,Jakarta,2023-04-19,54680
70,99.0,Jakarta,2023-11-21,192262
71,71.0,Medan,2023-03-26,51033
72,150.0,Medan,2023-10-15,34450
73,148.0,Jakarta,2023-02-24,219206
74,58.0,Jakarta,2023-05-24,136195
75,,Bandung,2023-08-05,238329
76,97.0,Medan,2023-03-02,145880
77,81.0,Jakarta,2023-12-24,82562
78,21.0,Bandung,2023-06-12,72954
79,131.0,Surabaya,2023-09-30,259787
80,71.0,Jakarta,2023-12-11,69178
81,84.0,Jakarta,2023-02-12,23771
82,43.0,Medan,2023-11-10,159177
83,63.0,Bandung,2023-06-06,299350
84,34.0,Bandung,2024-01-01,71867
85,39.0,Bandung,2023-08-06,56885
86,130.0,Medan,2023-12-12,31525
87,126.0,Medan,2023-04-01,154701
88,39.0,Surabaya,2023-05-03,296168
89,57.0,Medan,2023-07-19,294144
90,88.0,Medan,2023-01-06,288801
91,116.0,Jakarta,2023-03-21,54999
92,70.0,Medan,2023-01-26,109469
93,83.0,Bandung,2023-02-13,224579
94,18.0,Medan,2023-01-11,220762
95,24.0,Bandung,2023-09-30,30364
96,122.0,Bandung,2023-10-25,227160
97,137.0,Bandung,2023-07-24,183747
98,95.0,Jakarta,2023-10-31,55364
99,30.0,Surabaya,2023-05-13,166681
100,,Bandung,2023-02-26,156071
101,81.0,Jakarta,2023-04-12,90952
102,48.0,Jakarta,2023-12-14,125923
103,99.0,Jakarta,2023-01-20,81526
104,18.0,Jakarta,2023-01-14,217440
105,22.0,Jakarta,2023-01-27,163346
106,41.0,Jakarta,2023-02-01,234152
107,122.0,Jakarta,2023-06-04,73975
108,33.0,Bandung,2023-06-15,175585
109,122.0,Surabaya,2023-12-09,181142
110,44.0,Bandung,2023-02-01,78556
111,52.0,Medan,2023-06-17,187344
112,123.0,Jakarta,2023-05-28,157916
113,27.0,Bandung,2023-06-26,38267
114,139.0,Bandung,2023-07-22,41283
115,18.0,Jakarta,2023-08-01,47734
116,66.0,Jakarta,2023-05-15,38546
117,6.0,Jakarta,2023-06-26,201216
118,85.0,Bandung,2023-11-07,36476
119,5.0,Bandung,2023-02-20,53262
120,129.0,Bandung,2023-05-11,64505
121,82.0,Surabaya,2023-01-19,286105
122,99.0,Medan,2023-06-02,287760
123,138.0,Bandung,2023-02-10,146909
124,54.0,Surabaya,2023-08-03,178682
125,,Jakarta,2023-12-29,189584
126,126.0,Medan,2023-01-12,190005
127,94.0,Jakarta,2023-01-06,159791
128,55.0,Surabaya,2023-04-23,51207
129,149.0,Surabaya,2023-01-21,47513
130,11.0,Jakarta,2023-01-08,242054
131,10.0,Surabaya,2023-04-11,101989
132,8.0,Bandung,2023-05-02,229775
133,13.0,Medan,2023-05-27,20681
134,134.0,Surabaya,2023-11-02,74696
135,47.0,Bandung,2023-12-03,135718
136,126.0,Medan,2023-01-30,24187
137,103.0,Surabaya,2023-04-30,292974
138,16.0,Jakarta,2023-09-09,73924
139,99.0,Surabaya,2023-03-24,48865
140,145.0,Jakarta,2023-12-22,222487
141,16.0,Jakarta,2023-08-04,159757
142,2.0,Jakarta,2023-10-07,168616
143,63.0,Medan,2023-02-09,259762
144,98.0,Surabaya,2023-07-03,186804
145,58.0,Jakarta,2023-10-15,283874
146,103.0,Medan,2023-02-22,94293
147,52.0,Jakarta,2023-09-28,33080
148,94.0,Jakarta,2023-06-29,122385
149,77.0,Medan,2023-09-11,145672
150,,Bandung,2023-08-28,212058
151,34.0,Jakarta,2023-03-24,84559
152,3.0,Medan,2023-11-20,104920
153,113.0,Medan,2023-11-01,180532
154,89.0,Bandung,2023-09-28,20487
155,46.0,Jakarta,2023-04-22,206683
156,120.0,Jakarta,2023-02-23,199710
157,141.0,Jakarta,2023-03-04,60983
158,107.0,Medan,2023-06-15,221331
159,16.0,Bandung,2023-10-18,203761
