id_product,nama_produk,kategori,harga
1,Product_1,Household,15084.0
2,Product_2,Beverage,58328.0
3,Product_3,Household,54807.0
4,Product_4,Snack,29673.0
5,Product_5,Food,60439.0
6,Product_6,Snack,16812.0
7,Product_7,Household,33294.0
8,Product_8,Household,95296.0
9,Product_9,Food,8061.0
10,Product_10,Food,16796.0
11,Product_11,Food,77164.0
12,Product_12,Beverage,74933.0
13,Product_13,Beverage,
14,Product_14,Snack,5229.0
15,Product_15,Beverage,47058.0
16,Product_16,Food,41266.0
17,Product_17,Household,79502.0
18,Product_18,Beverage,77942.0
19,Product_19,Beverage,97428.0
20,Product_20,Food,27263.0
21,Product_21,Snack,93233.0
22,Product_22,Household,86331.0
23,Product_23,Household,95308.0
24,Product_24,Household,38925.0
25,Product_25,Snack,5416.0
26,Product_26,Beverage,
27,Product_27,Food,17405.0
28,Product_28,Snack,23334.0
29,Product_29,Snack,36154.0
30,Product_30,Snack,61305.0
31,Product_31,Beverage,18573.0
32,Product_32,Food,84027.0
33,Product_33,Beverage,40697.0
34,Product_34,Food,94934.0
35,Product_35,Snack,19495.0
36,Product_36,Beverage,19802.0
37,Product_37,Snack,64099.0
38,Product_38,Household,38767.0
39,Product_39,Food,
40,Product_40,Beverage,97087.0
41,Product_41,Snack,83823.0
42,Product_42,Food,36896.0
43,Product_43,Snack,74683.0
44,Product_44,Food,60558.0
45,Product_45,Beverage,36358.0
46,Product_46,Food,40988.0
47,Product_47,Food,53116.0
48,Product_48,Snack,44972.0
49,Product_49,Snack,67432.0
50,Product_50,Snack,98186.0
