id_item,id_transaction,id_product,quantity
1,87,3,3.0
2,90,35,5.0
3,112,35,8.0
4,280,39,1.0
5,285,19,7.0
6,161,38,4.0
7,199,30,9.0
8,9,45,5.0
9,203,30,9.0
10,115,35,4.0
11,154,23,10.0
12,203,29,2.0
13,143,50,10.0
14,227,31,7.0
15,151,24,2.0
16,254,7,6.0
17,103,7,5.0
18,261,16,6.0
19,256,9,7.0
20,216,50,4.0
21,34,7,9.0
22,178,19,9.0
23,93,7,7.0
24,74,33,1.0
25,218,2,8.0
26,20,27,7.0
27,278,49,8.0
28,172,50,10.0
29,204,18,2.0
30,138,32,9.0
31,235,25,8.0
32,100,12,6.0
33,136,40,10.0
34,57,40,4.0
35,196,8,4.0
36,24,47,7.0
37,196,30,3.0
38,290,27,7.0
39,38,29,7.0
40,272,46,
41,162,3,7.0
42,153,28,2.0
43,33,49,6.0
44,226,13,3.0
45,194,39,8.0
46,274,46,6.0
47,49,27,4.0
48,62,46,4.0
49,289,20,6.0
50,278,4,6.0
51,192,30,3.0
52,276,4,7.0
53,8,39,7.0
54,26,21,4.0
55,83,20,8.0
56,282,4,3.0
57,279,18,1.0
58,227,45,6.0
59,90,19,7.0
60,26,35,6.0
61,55,29,10.0
62,250,13,4.0
63,144,24,5.0
64,109,22,9.0
65,93,1,1.0
66,208,22,10.0
67,227,1,9.0
68,37,34,7.0
69,56,31,4.0
70,150,17,1.0
71,106,8,7.0
72,113,22,4.0
73,175,21,5.0
74,257,49,4.0
75,78,22,5.0
76,167,42,3.0
77,84,48,7.0
78,160,1,8.0
79,1,9,4.0
80,21,47,
81,195,46,2.0
82,134,26,9.0
83,35,27,9.0
84,248,47,10.0
85,62,24,6.0
86,291,18,7.0
87,282,9,3.0
88,137,48,3.0
89,174,16,9.0
90,218,13,9.0
91,268,24,10.0
92,240,10,3.0
93,84,30,1.0
94,204,20,2.0
95,109,39,2.0
96,49,33,6.0
97,101,33,7.0
98,44,31,3.0
99,34,26,3.0
100,280,34,3.0
101,2,33,2.0
102,119,6,2.0
103,235,26,4.0
104,17,16,5.0
105,121,15,3.0
106,289,20,1.0
107,5,8,8.0
108,49,24,5.0
109,237,45,4.0
110,112,47,4.0
111,245,45,3.0
112,264,22,10.0
113,200,13,6.0
114,95,13,6.0
115,133,28,1.0
116,257,49,9.0
117,82,16,1.0
118,108,23,2.0
119,174,10,4.0
120,144,45,
121,184,10,6.0
122,274,31,5.0
123,25,30,9.0
124,241,44,5.0
125,151,19,9.0
126,215,23,5.0
127,208,31,8.0
128,52,10,8.0
129,189,32,6.0
