id_transaction,id_customer,tanggal_transaksi,metode
1,37.0,2023-12-17,Cash
2,8.0,2022-04-05,Cash
3,1.0,2023-09-06,E-Wallet
4,50.0,2023-07-29,E-Wallet
5,65.0,2023-11-01,Card
6,24.0,2022-05-30,Cash
7,70.0,2022-03-26,Card
8,61.0,2023-06-10,E-Wallet
9,31.0,2022-01-05,Card
10,93.0,2022-02-16,Card
11,126.0,2022-05-28,Cash
12,115.0,2023-07-14,E-Wallet
13,3.0,2023-03-26,Card
14,73.0,2023-01-14,E-Wallet
15,126.0,2022-12-30,Cash
16,124.0,2022-10-20,Cash
17,28.0,2022-04-12,Unknown
18,108.0,2022-05-29,Cash
19,34.0,2023-09-15,Cash
20,74.0,2023-02-03,Cash
21,66.0,2022-09-22,E-Wallet
22,75.0,2023-12-06,Card
23,144.0,2023-11-26,E-Wallet
24,28.0,2022-02-26,E-Wallet
25,,2022-04-30,Card
26,16.0,2022-04-26,Cash
27,15.0,2023-04-06,Card
28,25.0,2023-03-05,Card
29,53.0,2022-09-26,E-Wallet
30,140.0,2023-06-25,Card
31,71.0,2022-10-16,Card
32,126.0,2022-12-14,Card
33,4.0,2023-03-21,Card
34,122.0,2023-05-25,Unknown
35,80.0,2023-09-04,Cash
36,122.0,2023-09-18,E-Wallet
37,120.0,2022-02-21,E-Wallet
38,121.0,2022-01-30,Card
39,148.0,2023-04-17,Cash
40,29.0,2022-08-17,E-Wallet
41,113.0,2022-03-22,Cash
42,116.0,2023-10-27,Cash
43,18.0,2022-05-22,E-Wallet
44,139.0,2022-05-31,E-Wallet
45,28.0,2023-11-05,Card
46,23.0,2023-02-16,Cash
47,60.0,2022-03-09,Card
48,105.0,2023-03-25,Card
49,148.0,2022-05-27,E-Wallet
50,,2022-10-16,Card
51,39.0,2023-08-29,Unknown
52,82.0,2022-10-23,Cash
53,93.0,2022-05-25,Card
54,106.0,2023-04-27,Cash
55,10.0,2022-07-21,Card
56,39.0,2023-01-25,Card
57,55.0,2023-04-04,E-Wallet
58,66.0,2022-03-01,E-Wallet
59,41.0,2023-10-06,Card
60,113.0,2022-08-27,Card
61,31.0,2023-09-07,Cash
62,13.0,2023-09-06,Card
63,122.0,2023-05-27,E-Wallet
64,9.0,2023-01-19,Cash
65,93.0,2022-02-15,Cash
66,60.0,2022-09-18,Cash
67,70.0,2022-05-29,E-Wallet
68,59.0,2022-10-19,Unknown
69,14.0,2022-06-21,Cash
70,38.0,2023-04-04,Cash
71,79.0,2023-08-13,E-Wallet
72,6.0,2022-01-20,E-Wallet
73,47.0,2022-09-04,Cash
74,41.0,2023-04-03,Cash
75,,2022-07-04,Card
76,109.0,2023-12-18,E-Wallet
77,48.0,2023-02-19,Card
78,93.0,2022-08-26,Card
79,22.0,2022-04-06,Cash
80,125.0,2023-11-03,Cash
81,104.0,2023-05-01,E-Wallet
82,138.0,2022-02-13,Card
83,36.0,2022-01-28,E-Wallet
84,54.0,2023-12-30,E-Wallet
85,59.0,2023-09-12,Unknown
86,116.0,2022-07-27,Cash
87,75.0,2022-08-21,Cash
88,129.0,2022-09-21,Cash
89,116.0,2023-09-15,Card
90,121.0,2023-07-12,Cash
91,4.0,2022-04-19,Card
92,80.0,2023-06-09,Cash
93,132.0,2022-12-24,E-Wallet
94,134.0,2023-11-04,Card
95,93.0,2023-02-25,Cash
96,47.0,2022-01-13,Card
97,6.0,2023-05-26,Cash
98,34.0,2023-05-28,Card
99,116.0,2022-05-06,Card
100,,2022-06-11,E-Wallet
101,73.0,2023-04-14,Cash
102,114.0,2022-10-08,Unknown
103,30.0,2023-01-10,E-Wallet
104,118.0,2022-02-14,Cash
105,137.0,2022-04-25,E-Wallet
106,7.0,2023-10-22,E-Wallet
107,68.0,2022-03-22,Card
108,124.0,2023-02-16,Card
109,56.0,2022-04-01,Card
110,55.0,2022-06-22,Card
111,38.0,2023-11-29,E-Wallet
112,72.0,2023-06-28,Cash
113,6.0,2022-12-21,Card
114,113.0,2023-11-19,Cash
115,28.0,2022-06-22,Cash
116,85.0,2022-12-16,Card
117,130.0,2022-10-01,Card
118,34.0,2022-09-03,E-Wallet
119,15.0,2022-01-01,Unknown
120,81.0,2022-03-24,E-Wallet
121,143.0,2022-07-15,E-Wallet
122,2.0,2022-12-01,Card
123,139.0,2022-09-23,Cash
124,87.0,2023-10-08,E-Wallet
125,,2022-10-03,Card
